dev,address,district,sale_price,description,detail,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Nusasiri Grand,"Thanon Sukhum Vit, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,16799000.0,"PropertyScout ID 646526
Check all listing details on our website https://propertyscout.co.th/en/64----","Modern 2-bedroom 3-bathroom condominium on the 12th floor of The Nusasiri Grand
building, in the Khlong Toei district, close to BTS Ekkamai, perfect for an
urban lifestyle.",141525.0,0.0,-2.98,4.42,5.68,2.0,3.0,125.0,28.0,2.0,2007.0,1,1,1,1,1,0,1,1,0,0,0,1,72.0,1900.0,1,0
,,Khlong Toei,18000000.0,"PropertyScout ID 925397
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 2-bedroom 2-bathroom Condo unit, sized 96 sqm on the 15th Floor with
Breathtaking Views at AEQUA Residence Sukhumvit 49 by BTS Thong Lor",,,,,,2.0,2.0,96.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
The Met,"Thanon Sathon Tai, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,21393000.0,"PropertyScout ID 426515
Check all listing details on our website https://propertyscout.co.th/en/42----","Modern 2-bedroom 2-bathroom condominium from the 25th floor of The Met
Condominium‬ building, in the Sathorn district, close to BTS Chong Nonsi,
perfect for an urban lifestyle.",163158.0,-9.2,-8.23,3.87,-9.15,2.0,2.0,93.0,66.0,1.0,2009.0,1,1,1,1,1,1,1,1,1,0,0,1,660.0,1900.0,1,0
Life One Wireless,"1 Witthayu Rd, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,5500000.0,"PropertyScout ID 592599
Check all listing details on our website https://propertyscout.co.th/en/59----","Luxury studio-bedroom 1-bathroom, sized28.27 sqm on the 19th Floor with
Breathtaking Views at Life One Wireless by BTS Phloen Chit.",185423.0,0.0,6.6,4.28,-0.9,1.0,1.0,28.27,43.0,1.0,2020.0,1,1,1,1,1,1,1,1,0,0,0,1,660.0,350.0,1,1
,,Watthana,16500000.0,"PropertyScout ID 878174
Check all listing details on our website https://propertyscout.co.th/en/87----","Modern 2-bedroom 2-bathroom Condo unit, sized 140 sqm on the 25th Floor with
Breathtaking Views at D.S.Tower 2 by BTS Phrom Phong",,,,,,2.0,2.0,140.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Supalai Premier Place Asoke,"177/7 สุขุมวิท Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,11500000.0,"PropertyScout ID 924781
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 2-bedroom 2-bathroom Condo unit, sized 97.5 sqm on the 9th Floor with
Breathtaking Views at Supalai Premier Place Asok by MRT Phetchaburi",99812.0,0.0,-12.56,4.45,1.09,2.0,2.0,97.5,30.0,1.0,2006.0,1,1,1,1,1,1,1,1,0,0,0,0,1600.0,2300.0,0,0
Circle Rein Sukhumvit 12,"67 Soi Suk Chai, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,5690000.0,This flat on Sukhumvit 12 that is AirBnB-ready is available now in Circle Rein condominium near BTS Asoke and Nana,"1 bedroom
1 bathroom with a full-size bathtub
convertible design:  the bed folds up when not in use to create a larger living room space.
area: 30.36 sqm
low floor: located in the low-rise condominium with private access to an outdoor garden
car parking slot
fully furnished: modern style
open and fully equipped kitchen
full set of electrical appliances, including flat TV, refrigerator, washing machine, and microwave
foreign freehold quota is available
the building has an AirBNB setup for investors",164848.0,0.0,0.61,3.97,15.68,1.0,1.0,30.36,8.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,0,0,0,280.0,1100.0,1,0
Oriental Towers,"Soi Charoen Chai, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,28000000.0,This large apartment in Ekkamai 12 is a well-maintained condo that is available now at a good price in Oriental Towers condominium in Bangkok CBD,"this condo features a large living room
condition - well-maintained
this building is pet-friendly
3-bedroom
3-bathroom
3 balconies of a good size
private lift
maids' quarter with a separate entrance from a service list
2 car parking lots
the condo is located on a high floor (20+)
this property is a corner unit and features a 270-degree beautiful view of Bangkok
separated and fully equipped kitchen
partly furnished
full set of electrical appliances
foreign freehold quota is available",96597.0,0.0,2.19,2.92,2.62,3.0,3.0,315.0,33.0,1.0,1995.0,1,1,1,1,1,1,1,1,0,0,0,0,1600.0,2100.0,0,0
Ashton Silom,"162 Silom Rd, Khwaeng Silom, Khet Bang Rak",Bang Rak,12500000.0,"PropertyScout ID 748045
Check all listing details on our website https://propertyscout.co.th/en/74----","Modern 1-bedroom 1-bathroom Condo unit, sized 49.07 sqm on the 18th Floor with
Breathtaking Views at Ashton Silom by BTS Chong Nonsi",290113.0,-0.95,32.61,3.71,4.67,1.0,1.0,49.07,48.0,1.0,2019.0,1,1,1,1,1,1,1,1,0,0,0,1,470.0,1600.0,1,0
Wilshire,"Soi Sai Nam Thip, Khlong Toei, Bangkok 10110",Khlong Toei,32500000.0,"PropertyScout ID 804934
Check all listing details on our website https://propertyscout.co.th/en/80----","Spacious 3-bedroom 2-bathroom Condo unit, sized 253.24 sqm on the 21st Floor
with Breathtaking Views at Wilshire Condominium by BTS Phrom Phong",158075.0,0.0,34.83,4.12,3.04,3.0,2.0,253.24,22.0,1.0,2006.0,1,1,1,1,1,1,1,0,0,0,0,0,1200.0,2400.0,0,0
Noble Ploenchit,"1035 Phloen Chit Rd, Khwaeng Lumphini, Khet Pathum Wan",Pathum Wan,27162000.0,"PropertyScout ID 881046
Check all listing details on our website https://propertyscout.co.th/en/88----","Modern 2-bedroom 2-bathroom Condo unit, sized 75.45 sqm on the 40th-B Floor with
Breathtaking Views at Noble Phloen Chit by BTS Phloen Chit",299621.0,0.0,1.18,3.42,-3.61,2.0,2.0,75.45,50.0,3.0,2017.0,1,1,1,1,1,1,1,1,1,0,0,0,110.0,270.0,1,1
Ashton Morph 38,"1 Sukhumvit Rd, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,13500000.0,"PropertyScout ID 441161
Check all listing details on our website https://propertyscout.co.th/en/44----","Modern 2-bedroom 2-bathroom condominium from the 19th floor of The Ashton Morph
38 building, in the Khlong Toei district, close to BTS Thong Lor, perfect for an
urban lifestyle.",213899.0,0.0,-6.96,4.35,1.44,2.0,2.0,70.0,32.0,1.0,2012.0,1,1,1,1,1,1,1,1,1,1,0,1,380.0,2100.0,1,0
15 Sukhumvit Residences,"เรสซิเดนเซส ชั้น 2 ถ. 12/497 อาคาร 15 สุขุมวิท Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,6200000.0,"PropertyScout ID 621822
Check all listing details on our website https://propertyscout.co.th/en/62----","Modern 1-bedroom 1-bathroom condominium on the 12th floor of The 15 Sukhumvit
Residences building, in the Watthana district, close to BTS Nana, perfect for an
urban lifestyle.",124748.0,0.0,-1.49,4.49,0.86,1.0,1.0,54.0,25.0,1.0,2013.0,1,1,1,1,1,1,1,1,1,1,0,1,640.0,,1,0
Nusasiri Grand,"Thanon Sukhum Vit, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,22685000.0,"PropertyScout ID 835015
Check all listing details on our website https://propertyscout.co.th/en/83----","Modern 3-bedroom 4-bathroom condominium on the 19th floor of The Nusasiri Grand
building, in the Khlong Toei district, close to BTS Ekkamai, perfect for an
urban lifestyle.",141525.0,0.0,-2.98,4.42,5.68,3.0,4.0,155.0,28.0,2.0,2007.0,1,1,1,1,1,0,1,1,0,0,0,1,72.0,1900.0,1,0
Park Origin Phromphong,"70 อาคาร 4 Sukhumvit 24 Alley, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,5800000.0,"PropertyScout ID 804242
Check all listing details on our website https://propertyscout.co.th/en/80----","Modern 1-bedroom 1-bathroom Condo unit, sized 28.21 sqm on the 5th Floor with
Breathtaking Views at Park Origin Phrom Phong by BTS Phrom Phong",241210.0,9.25,4.46,4.55,20.11,1.0,1.0,28.21,51.0,2.0,,1,1,1,1,1,1,1,1,1,1,1,1,1400.0,2200.0,0,0
Vtara Sukhumvit 36,"118 Soi Sukhumvit 36, Khwaeng Phra Khanong, Khet Khlong Toei",Khlong Toei,5300000.0,"PropertyScout ID 924364
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 1-bedroom 1-bathroom 36 sqm condo on  8th floor in the international
Khlong Toei district, close to BTS Thong Lor, perfect for an urban lifestyle.",120833.0,-17.03,-17.03,4.5,-9.94,1.0,1.0,36.0,8.0,5.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,1,990.0,2000.0,1,0
Vinn Sukhumvit 46,"Soi Phum Chit, Phra Khanong, Khlong Toei, Bangkok 10110",Khlong Toei,3296000.0,"PropertyScout ID 785381
Check all listing details on our website https://propertyscout.co.th/en/78----","Modern 1-bedroom 1-bathroom Condo unit, sized 36 sqm on the 3rd Floor with
Breathtaking Views at Vinn Sukhumvit 46 by BTS Phra Khanong",97298.0,0.0,3.85,5.6,7.84,1.0,1.0,36.0,5.0,2.0,2011.0,1,1,1,1,1,0,1,1,0,0,0,0,360.0,1900.0,1,0
Siamese Exclusive Queens,"141 Soi Phai Singto, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,13800000.0,A new condo for sale near MRT Queen Sirikit Center is available in the Siamese Exclusive Queens luxury condo.,"2 bedroom
2 bathroom
76.47 sqm
corner unit
low floor (10-)
fully fitted - built-in furniture is included",202205.0,0.0,-8.42,4.21,-5.21,2.0,1.0,76.47,33.0,1.0,,1,1,1,1,1,0,1,1,0,1,0,0,1000.0,1400.0,1,0
Trapezo Sukhumvit 16,"298 Soi Sukhumvit 16, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,6100000.0,This modern 1-bedroom condo in a low-rise project is available now in Trapezo Sukhumvit 16 condominium near MRT Queen Sirikit,"modern condo in a low-rise condominium
new apartment - nobody lived before
1-bedroom
1-bathroom
balcony
area: 45 sqm
facing direction: North
car parking slot
fully furnished
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota",148360.0,0.0,14.57,4.76,-4.85,1.0,1.0,45.0,7.0,1.0,2014.0,1,1,1,1,1,0,1,1,0,0,0,1,1400.0,1700.0,0,0
Noble Remix,"772 Sukhumvit Rd, Khlong Tan Nuea, Khet Khlong Toei",Khlong Toei,9843619.0,"Noble Remix Sukhumvit Thonglor condo for sale with direct access to BTS Thonglor was developed by Noble Development Public Company in 2008.
Noble Development is also known as the developer behind Noble Ploenchit, Noble Be 19, Noble Recole, Noble Refine, Noble Be33, and many other condominiums in Bangkok.
Noble Remix mix-use project comprises a retail podium of 3 floors and a condominium.
The condominium has 2 buildings:","Noble Remix 1: 504 apartments on 33 floors
Noble Remix 2: 152 apartments on 11 floors",165459.0,0.0,-0.58,3.94,-6.54,1.0,1.0,94.84,33.0,1.0,2008.0,1,1,1,1,1,0,1,1,1,1,1,0,280.0,2800.0,1,0
Hyde Sukhumvit 11,"No27, ซอย สุขุมวิท 11 แขวง คลองเตยเหนือ เขตวัฒนา",Watthana,14000000.0,This Bangkok condo near BTS Nana is available for sale in Hyde Sukhumvit 11 luxury condominium on Sukhumvit 11,"this Bangkok condo features large windows from floor to ceilings with nice unblocked city views
this new condo is located in Sukhumvit Soi 11
sale with a tenant paying 40,000 per month until mid-2022
2-bedroom
2-bathroom
balcony
area: 63 sqm
high floor: 15+
facing direction: East with a nice unblocked city view
fully furnished: new furniture
fully equipped kitchen
foreign freehold ownership quota is available",180795.0,0.0,-3.01,4.54,-14.93,2.0,2.0,63.0,,1.0,,0,1,1,0,1,0,0,1,0,0,0,0,,,0,0
Rhythm Asoke,"299 Rhythm Asoke1 Dindaeng Rd, Khwaeng Makkasan, Khet Ratchathewi",Huai Khwang,3490000.0,This affordable Bangkok condo in Rama 9 is available now for sale in Rhythm Asoke 1 condominium. The fully furnished studio flat is decorated in a modern style.,"this cheap Bangkok apartment features an unblocked view and peaceful surroundings
this cheap condo is currently rented out until April 2022 and is available for sale with the tenant
studio
balcony
area: 22 sqm
high floor: 15+
fixed parking slot
fully furnished
open kitchen
full set of electrical appliances
foreign freehold quota is available for this cheap Bangkok apartment in Rama 9",149723.0,0.0,-11.0,4.78,-1.32,1.0,1.0,22.0,37.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,0,830.0,150.0,1,1
BEATNIQ Sukhumvit 32,"21-58 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,26000000.0,This modern luxury condo for sale near BTS Thonglor with 2 bedrooms is available now in BEATNIQ Sukhumvit 32,"this luxury Bangkok apartment features high ceilings of 3.5 m
this condo is a corner unit
2-bedroom
2-bathroom
patio
balcony
area: 83 sqm
high floor: 20+
facing direction: North-East with unblocked city views
fully furnished with a luxury design
fully equipped kitchen
full set of electrical appliances
foreign freehold quota available",311573.0,0.0,9.72,4.38,16.6,2.0,2.0,83.0,34.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,1,500.0,3000.0,1,0
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,7324467.0,"The Address Asoke Phetchaburi condo for sale in Bangkok near Makkasan Airport Rail Link is a high-rise luxury apartment building located near Phetchaburi MRT.
""The Address"" is a brand of AP Thai - Asian Property Development Public Company that features very central locations and luxury standards for all units, which are sold fully equipped and furnished. Other condominiums of this brand include Rhythm Ekkamai, Life Asoke, Vittorio Sukhumvit 39, and many others.
The Address Asoke apartment building was built in 2012 and comprises a single building, having 574 apartments on 44 floors.
Facilities at The Address Asoke Phetchaburi condo for sale in Bangkok
Facilities at The Address Asoke are doubled:","elevators - 7
parking slots
24-hours security and 24/7 security guards and reception desk
key card with access to a specific floor
CCTV
2 swimming pools
2 saunas
2 steams
2 gym rooms
2 gardens / BBQ
playground/kid's area
Library
Cinema
Wi-Fi in the public area",156451.0,0.0,-0.38,4.48,5.99,1.0,1.0,63.76,44.0,1.0,2012.0,1,1,1,1,1,1,1,1,1,0,0,0,220.0,800.0,1,1
The Rich Nana,"5 Soi Sukhumvit 3, Khwaeng Khlong Toei Nuea, Khet Watthana",Khlong Toei,15945461.0,"The Rich Ploenchit Nana Sukhumvit 3 is a luxury Bangkok condo for sale developed by Richy Place 2002 Public Company.
Richy developed a broad spectrum of residential real estate projects to meet the diversified needs of buyers, including condominiums, detached homes, and townhomes with a focus on locations nearby BTS and MRT stations aiming to reduce commuting time and provide convenience to customers.
The Rich Ploenchit Nana combines elements of health and modernity into one place, to be the perfect residential building in the heart of Bangkok. Leave the troubles of the city behind and open up to wellness living surrounded by nature and comprehensive facilities, where people aspire to live.
Nana is one of the most unique areas in Bangkok where two cultures merge to create a new and distinctive culture with is rich and diverse. Located in the heart of Bangkok, full of commercial and investment potential, this place is surrounded by Thailand's most luxurious malls, world-class hospitals, as well as hundreds of restaurants, and entertainment places, which makes The Rich Nana so special.
Facts: Luxury Bangkok condo for sale near Bumrungrad Hospital",,,,,,,1.0,1.0,71.22,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,7600.0,3700.0,0,0
Turnberry,"Soi Phrom Chit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,18000000.0,This large apartment with 5 balconies  on Sukhumvit 33 is available now in Turnberry condominium in Bangkok CBD,"this Bangkok condo features large living rooms
this condo for sale in Sukhumvit 33 features 5 balconies
3-bedroom
3-bathroom
5 balconies - including 1 - service balcony
large area: 132.62 sqm
fixed car parking slot
low floor: low-rise building
fully furnished
fully equipped kitchen
full set of electrical appliances
a new owner may need some renovation
foreign freehold quota is available",104515.0,0.0,-7.79,3.81,6.07,3.0,3.0,132.61,8.0,1.0,2006.0,1,1,1,1,1,0,1,0,0,0,0,0,1000.0,2600.0,1,0
President Park Sukhumvit 24,"370-709 Soi Sukhumvit 22, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,17000000.0,A large Bangkok apartment with a river view is available for sale at President Park Sukhumvit 24 condominium in Phrom Phong,"this large Bangkok condo features a river view from the windows
this condo for sale in Phrom Phong was recently renovated
large living room
3-bedroom
3-bathroom
maids' quarter
area: 223 sqm
very high floor: 30+
facing directions: West and South-East
fully furnished
the separated kitchen is fully equipped
full set of electrical appliances
foreign freehold ownership quota is available for this apartment",77068.0,0.0,-1.83,4.05,-2.62,3.0,3.0,223.0,11.0,1.0,1996.0,1,1,1,1,1,0,1,0,0,0,1,1,1200.0,1400.0,0,0
Baan Ananda,"Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,36000000.0,This large condo on Sukhumvit 61 is available now in Baan Ananda luxury condominium in Ekkamai,"this Bangkok condo for sale features a large living room
3-bedroom
4-bathroom
3 balconies - one of them is a good-sized one with a private garden
maids' quarter with a separate entrance
low-rise building
unblocked view of a quiet area of Ekkamai
fully equipped kitchen with island
partly furnished
foreign freehold quota",142732.0,0.0,-3.82,4.3,-2.29,3.0,3.0,272.28,7.0,1.0,2007.0,1,1,1,1,1,0,1,0,0,0,0,0,960.0,2800.0,1,0
Eight Thonglor Residence,"162 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,13819546.0,"Eight Thonglor Residence Sukhumvit 55 luxury condo for sale in Bangkok was built in 2009.
This luxury Bangkok condominium comprises a single building having 196 apartments on 34 floors. Project Area: 5,068 m2","Harmony Living in Thong Lo
Located in Sukhumvit soi 55, only 5 minutes drive from BTS Thong Lo, the location offers residents superior commuting convenience for both leisure and business.
Surrounded by the vibrant neighborhood of Little Tokyo, and a stone’s throw from Thong Lo, the development covers an array of amenities ranging from hospitals, International schools, supermarkets, and a variety of cafes and restaurants.
Landscaped especially for residents who wish to escape the buzz and bustle of city life, the development has put careful consideration into the selection of trees, plants, and other green elements featured in the development. The highlight of the pristine landscape is the common courtyard at the center of the development.
Apartment types",205344.0,0.0,-1.73,4.06,-1.0,1.0,1.0,90.0,34.0,1.0,2009.0,1,1,1,1,1,1,1,1,0,0,0,0,980.0,3100.0,1,0
Baan Siri 31,"Soi Sawatdi, Khlong Tan Nuea, Vadhana, Bangkok 10110",Watthana,12597426.0,"Baan Siri 31 Sukhumvit 31 condo for sale in Bangkok features luxury living in the midst of the Asoke - Phrom Phong area on Sukhumvit Soi 31
Baan Siri 31 condo was built in 2007 by Sansiri Public Company.
This Bangkok condo for sale in Asoke comprises a single tower with 108 apartments on 24 floors.
This Bangkok condo for sale is located just a quick walk distance from the BTS Phrom Phong so it is highly accessible from virtually anywhere in Bangkok Central Business District.
Trendy shopping malls, such as Emporium and Terminal 21, are easily accessible. With so many major attractions, excellent dining options, and entertainment venues, the area surrounding the Baan Siri 31 condo project is very well populated, making it an ideal location for city dwellers who like to keep busy.
Apartment types","Units types: 1 - 3 bedrooms and penthouses
Units sizes: 55 - 136 sqm",138963.0,0.0,7.25,4.62,-4.12,1.0,1.0,,24.0,1.0,2007.0,1,1,1,1,1,1,1,1,0,0,0,1,1100.0,2300.0,0,0
Royal Castle Sukhumvit 39,"30 Soi Sukhumvit 39, Khlong Toei Nuea, Khet Watthana",Watthana,15000000.0,This 3-bedroom condo in Phrom Phong is available now in Royal Castle Sukhumvit 39 condominium in Bangkok CBD,"3-bedroom
3-bathroom
fixed parking slot
3 balconies - in the kitchen, living room, and bedroom
maid's quarter
low floor: 10-
facing direction: South
fully furnished
the open kitchen is partially equipped
full set of electrical appliances: refrigerator, flat TV, washing machine, microwave
foreign freehold quota",150376.0,44.03,46.45,4.2,54.25,3.0,3.0,164.0,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,7600.0,3700.0,0,0
